idx,t_us,evt,core,prio,task_id,aux,evt_name
549,49873977,2,0,1,3,0,SW_OUT
550,49873985,1,0,1,2,0,SW_IN
551,49874653,2,0,1,2,0,SW_OUT
552,49874661,1,0,1,4,0,SW_IN
553,49874969,3,0,1,4,0,TICK
554,49874977,2,0,1,4,0,SW_OUT
555,49874986,1,0,1,5,0,SW_IN
556,49875969,3,0,1,5,0,TICK
557,49875977,2,0,1,5,0,SW_OUT
558,49875986,1,0,1,3,0,SW_IN
559,49876969,3,0,1,3,0,TICK
560,49876977,2,0,1,3,0,SW_OUT
561,49876985,1,0,1,4,0,SW_IN
562,49877969,3,0,1,4,0,TICK
563,49877977,2,0,1,4,0,SW_OUT
564,49877986,1,0,1,5,0,SW_IN
565,49878969,3,0,1,5,0,TICK
566,49878977,2,0,1,5,0,SW_OUT
567,49878986,1,0,1,3,0,SW_IN
568,49879657,2,0,1,3,0,SW_OUT
569,49879665,1,0,1,4,0,SW_IN
570,49879969,3,0,1,4,0,TICK
571,49879977,2,0,1,4,0,SW_OUT
572,49879986,1,0,1,5,0,SW_IN
573,49880969,3,0,1,5,0,TICK
574,49880977,2,0,1,5,0,SW_OUT
575,49880986,1,0,1,4,0,SW_IN
576,49881969,3,0,1,4,0,TICK
577,49881977,2,0,1,4,0,SW_OUT
578,49881986,1,0,1,5,0,SW_IN
579,49882969,3,0,1,5,0,TICK
580,49882978,2,0,1,5,0,SW_OUT
581,49882986,1,0,1,4,0,SW_IN
582,49883970,3,0,1,4,0,TICK
583,49883978,2,0,1,4,0,SW_OUT
584,49883987,1,0,1,5,0,SW_IN
585,49884969,3,0,1,5,0,TICK
586,49884977,2,0,1,5,0,SW_OUT
587,49884986,1,0,1,4,0,SW_IN
588,49885073,2,0,1,4,0,SW_OUT
589,49885082,1,0,1,5,0,SW_IN
590,49885449,2,0,1,5,0,SW_OUT
591,49885458,1,0,0,0,0,SW_IN
592,49885970,3,0,0,0,0,TICK
593,49886970,3,0,0,0,0,TICK
594,49887970,3,0,0,0,0,TICK
595,49888970,3,0,0,0,0,TICK
596,49889970,3,0,0,0,0,TICK
597,49890972,3,0,0,0,0,TICK
598,49890980,2,0,0,0,0,SW_OUT
599,49890989,1,0,1,0,0,SW_IN
600,49891200,2,0,1,0,0,SW_OUT
601,49891209,1,0,0,0,0,SW_IN
602,49891972,3,0,0,0,0,TICK
603,49891980,2,0,0,0,0,SW_OUT
604,49891989,1,0,1,1,0,SW_IN
605,49892969,3,0,1,1,0,TICK
606,49893972,3,0,1,1,0,TICK
607,49893979,2,0,1,1,0,SW_OUT
608,49893987,1,0,1,2,0,SW_IN
609,49894969,3,0,1,2,0,TICK
610,49894977,2,0,1,2,0,SW_OUT
611,49894985,1,0,1,1,0,SW_IN
612,49895969,3,0,1,1,0,TICK
613,49895977,2,0,1,1,0,SW_OUT
614,49895984,1,0,1,2,0,SW_IN
615,49896972,3,0,1,2,0,TICK
